"Name","Geoid","pa_or_restart_cat"
"Tuckahoe Common School District","3629070","Did not receive either PA or Restart Grant"
"Quogue Union Free School District","3624060","Did not receive either PA or Restart Grant"
"Ramapo Central School District (Suffern)","3628320","Did not receive either PA or Restart Grant"
"Ramapo Central School District (Suffern)","3628320","Did not receive either PA or Restart Grant"
"Jamesville-DeWitt Central School District","3609090","Did not receive either PA or Restart Grant"
"Marcellus Central School District","3618480","Did not receive either PA or Restart Grant"
"Windsor Central School District","3602730","Received PA or Restart Grant"
"Windsor Central School District","3602730","Received PA or Restart Grant"
"Johnson City Central School District","3615900","Received PA or Restart Grant"
"Niagara Falls City School District","3620820","Did not receive either PA or Restart Grant"
"Utica City School District","3629370","Did not receive either PA or Restart Grant"
"Schenectady City School District","3626010","Did not receive either PA or Restart Grant"
"Glens Falls Common School District","3602310","Did not receive either PA or Restart Grant"
"Warrensburg Central School District","3629910","Did not receive either PA or Restart Grant"
"Wyandanch Union Free School District","3631800","Did not receive either PA or Restart Grant"
"Cohoes City School District","3607980","Did not receive either PA or Restart Grant"
"Albany City School District","3602460","Did not receive either PA or Restart Grant"
"Plattsburgh City School District","3623280","Did not receive either PA or Restart Grant"
"Poughkeepsie City School District","3623760","Did not receive either PA or Restart Grant"
"Lackawanna City School District","3616440","Did not receive either PA or Restart Grant"
"Ardsley Union Free School District","3603180","Did not receive either PA or Restart Grant"
"Bronxville Union Free School District","3605640","Did not receive either PA or Restart Grant"
"Central Valley School District","3601087","Did not receive either PA or Restart Grant"
"Groton Central School District","3613020","Did not receive either PA or Restart Grant"
"Crown Point Central School District","3608610","Did not receive either PA or Restart Grant"
"Crown Point Central School District","3608610","Did not receive either PA or Restart Grant"
"Croton-Harmon Union Free School District","3608580","Did not receive either PA or Restart Grant"
"Wyoming Central School District","3631860","Did not receive either PA or Restart Grant"
"Auburn City School District","3603480","Did not receive either PA or Restart Grant"
"Jamestown City School District","3615630","Did not receive either PA or Restart Grant"
"Cassadaga Valley Central School District","3606660","Did not receive either PA or Restart Grant"
"Dunkirk City School District","3609420","Did not receive either PA or Restart Grant"
"East Moriches Union Free School District","3609870","Did not receive either PA or Restart Grant"
"Elwood Union Free School District","3610680","Did not receive either PA or Restart Grant"
"Brentwood Union Free School District","3605280","Did not receive either PA or Restart Grant"
"Brunswick Central School District (Brittonkill)","3605520","Did not receive either PA or Restart Grant"
"Schodack Central School District","3626070","Did not receive either PA or Restart Grant"
"Kings Park Central School District","3616260","Did not receive either PA or Restart Grant"
"Canton Central School District","3606470","Did not receive either PA or Restart Grant"
"Massena Central School District","3618660","Did not receive either PA or Restart Grant"
"Tupper Lake Central School District","3629160","Did not receive either PA or Restart Grant"
"Millbrook Central School District","3619380","Received PA or Restart Grant"
"Montauk Union Free School District","3619710","Did not receive either PA or Restart Grant"
"Dolgeville Central School District","3600001","Did not receive either PA or Restart Grant"
"Pleasantville Union Free School District","3623310","Did not receive either PA or Restart Grant"
"Island Park Union Free School District","3615480","Did not receive either PA or Restart Grant"
"Pembroke Central School District","3608340","Did not receive either PA or Restart Grant"
"Avenue City R-IX School District","2904080","Did not receive either PA or Restart Grant"
"Avilla R-XIII School District","2904110","Did not receive either PA or Restart Grant"
"Fort Ann Central School District","3611280","Did not receive either PA or Restart Grant"
"Westview C-6 School District","2931890","Did not receive either PA or Restart Grant"
"Belleview R-III School District","2904590","Did not receive either PA or Restart Grant"
"Greenwich Central School District","3612900","Did not receive either PA or Restart Grant"
"Fort Edward Union Free School District","3611310","Did not receive either PA or Restart Grant"
"Blackwater R-II School District","2905190","Did not receive either PA or Restart Grant"
"Raquette Lake Union Free School District","3624120","Did not receive either PA or Restart Grant"
"Gilliam C-4 School District","2912840","Did not receive either PA or Restart Grant"
"Pine Bush Central School District","3623010","Did not receive either PA or Restart Grant"
"Miami R-I School District","2920840","Did not receive either PA or Restart Grant"
"Warwick Valley Central School District","3629970","Did not receive either PA or Restart Grant"
"Boncl R-X School District","2905400","Did not receive either PA or Restart Grant"
"Boncl R-X School District","2905400","Did not receive either PA or Restart Grant"
"Callao C-8 School District","2906540","Did not receive either PA or Restart Grant"
"Warwick Valley Central School District","3629970","Did not receive either PA or Restart Grant"
"Nell Holcomb R-IV School District","2907320","Did not receive either PA or Restart Grant"
"Owego-Apalachin Central School District","3622170","Received PA or Restart Grant"
"Nell Holcomb R-IV School District","2907320","Did not receive either PA or Restart Grant"
"Owego-Apalachin Central School District","3622170","Received PA or Restart Grant"
"Centerville R-I School District","2908340","Did not receive either PA or Restart Grant"
"Livingston County R-III School District","2908790","Did not receive either PA or Restart Grant"
